Alberta Eacret,1,7808,,Terry Griffin,1
Anthony Eubanks,1,7814,,,
Anthony Mann Fritz Lang,1,119560,,,
Bill Morey,1,7807,,Russell S. Doughten,1
Bob Emerson,1,7814,,,
Brian Kennedy Clannad,1,45932,,Aiden Meade,1
Charles Vidor Clarence Brown,1,140601,,Ethel Barrymore,1
Colen Earls David Robey,1,7814,,,
David Jobe,1,7814,,,
Debora Trissel Burt Douglas,1,7809,,Donald W. Thompson,1
Eddie Birch Eric Jones,1,4901,,Leo Dickinson,1
Garnett Smith Patrick Pankhurst,1,7807,,Russell S. Doughten,1
Gary Yoder,1,7814,,,
Gene Otis,1,7809,,Donald W. Thompson,1
Henrik Halland BJ Brewer,1,60480,,Josh Murphy,1
Jim Swaffield R. Kelly,1,117571,,R. Kelly,1
John Badham Ramon Menendez,1,151528,Mystery & Thrillers,Rosie O'Donnell,1
John Sturges,92,"140601,10397,105099,10867,111243,113650,118174,118870,120569,124791,125192,12586,126128,126542,13271,136415,136778,14204,14264,14302,144847,14754,15048,150691,150692,153931,16815,17628,18002,18655,18682,18726,20239,20243,20339,21905,2215,22721,26563,26803,26804,27050,28704,28811,3247,34043,34089,3472,3552,37144,3800,38069,40475,42456,42500,42585,42601,42886,43304,43305,43994,45249,46327,47406,47479,49747,53199,53204,53250,53900,54993,55453,55990,55993,57284,57461,58686,68480,70270,70608,75595,81952,83009,84017,86852,91203,91208,91333,91789,92929,9307,99649","Military & War,None,Westerns","Steve McQueen,Charles Bronson","27,36"
Jr. Gossett,1,8083,"None,Romance",Johnie Chase,1
Jr. Price,1,8339,"Documentary,None",Kurt Martell,1
Jr. Rankin,2,"8463,8550",,Paul Frees,1
Jr. Wood,3,"5917,5919,8343","Horror,None",Loretta King,1
Karen Lessman. Doug Thoms,1,73756,Science Fiction,Robbi Jay Thuet,1
Molly Douma,1,60480,,Josh Murphy,1
Moti Sagar Ramanand Sagar,1,115221,,Gautam Chaturvedi,1
NJ,1,100604,,VA,1
NJIT,1,102581,,NJIT,1
Pearl Braaten,1,7808,,Terry Griffin,1
Phil Zalewski,1,7814,,,
Ralph McTurk Robert Sella,1,7808,,Terry Griffin,1
Richard Thorpe,96,"140601,114065,114162,115950,116076,117195,125074,125747,13108,132652,135933,137170,137633,137656,14007,14107,14200,14202,142468,142782,14300,14362,14462,14533,149054,149410,150081,150127,151053,15263,152924,152926,154099,154330,154442,155649,155650,160260,16074,16934,17142,17948,18017,18018,18019,18173,18869,18874,19137,20488,20670,21404,21527,24820,24821,25710,27284,27291,29229,29987,31776,33950,34059,34369,3448,3584,36849,37712,38225,38639,42455,42515,42712,46175,49489,52590,526,53301,53302,53308,55493,57426,63914,68540,72091,72807,73209,81728,81737,83494,84441,85606,86021,87873,9102,99868","Military & War,None,Westerns","Robert Walker,Elvis Presley","10,15"
Robert Denison,1,7807,,Russell S. Doughten,1
Roland Emmerich Alex Proyas,1,134857,"Mystery & Thrillers,None",Will Smith,1
Ross Richards,1,60480,,Josh Murphy,1
Sarah Levy Laura Bialis,1,4946,,Judy Meisel,1
Somers,1,7809,,Donald W. Thompson,1
Sr. Downey,1,5918,"Comedy,Drama,None",Archie Russell,1
Teri Hernandez,1,7809,,Donald W. Thompson,1
Todd Vipond,1,7814,,,
Tom Parkinson Chris Malazdrewicz,1,13912,,,
USA cimwareukandusa.com,1,100604,,VA,1
USA Professor Paul G. Ranky,1,102581,,NJIT,1
WWE ECW,1,84024,Sports,,
",102880
Big Hearted Herbert""  -   William Keighley",1,148484,,Guy Kibbee,1
Girl Missing    - Robert Florey,1,148477,,Mary Brian,1
Illicit  -  Archie Mayo,1,148477,,Mary Brian,1
La India Maria,3,"103437,100507,115985",,La India Maria,3
Merry Wives Of Reno    -   H. Bruce Humberstone,1,148486,,Guy Kibbee,1
Side Streets  -  Alfred E. Green,1,148493,,Aline Macmahon,1
Smarty    -  Robert Florey,1,148486,,Guy Kibbee,1
Stranger In Town  -  Erle C. Kenton,1,148493,,Aline Macmahon,1
The Merry Frinks    -   Alfred E. Green,1,148484,,Guy Kibbee,1
& Jaime Rogers,1,86294,Kids & Family,Sonny & Cher,1
',6,"109403,119868,121231,123299,124557,49231",Kids & Family,Tom Lawrence,1
'Weird Al' Yankovic,1,31934,,'Weird Al' Yankovic,1
(A Tale of Two Christmasses) Robert Aldrich,1,151951,,,
(The Answer) Roy Kellino,1,151951,,,
